VCD info: dumpfile ALU_out.vcd opened for output.
at T=   0:A = xxxx, B = xxxx,S1 = x,S0 = x, Add_Sub = xxxxx, is A>B:x, is A=B:x, is A<B:x, AND = xxxx
at T= 198:A = 0110, B = 0010,S1 = 0,S0 = 0, Add_Sub = 01000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 200:A = 0110, B = 0011,S1 = 0,S0 = 0, Add_Sub = 01001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 202:A = 0110, B = 0100,S1 = 0,S0 = 0, Add_Sub = 01010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 204:A = 0110, B = 0101,S1 = 0,S0 = 0, Add_Sub = 01011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 206:A = 0110, B = 0110,S1 = 0,S0 = 0, Add_Sub = 01100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 208:A = 0110, B = 0111,S1 = 0,S0 = 0, Add_Sub = 01101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 210:A = 0110, B = 1000,S1 = 0,S0 = 0, Add_Sub = 01110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 212:A = 0110, B = 1001,S1 = 0,S0 = 0, Add_Sub = 01111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 214:A = 0110, B = 1010,S1 = 0,S0 = 0, Add_Sub = 10000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 216:A = 0110, B = 1011,S1 = 0,S0 = 0, Add_Sub = 10001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 218:A = 0110, B = 1100,S1 = 0,S0 = 0, Add_Sub = 10010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 220:A = 0110, B = 1101,S1 = 0,S0 = 0, Add_Sub = 10011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 222:A = 0110, B = 1110,S1 = 0,S0 = 0, Add_Sub = 10100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 224:A = 0110, B = 1111,S1 = 0,S0 = 0, Add_Sub = 10101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 226:A = 0111, B = 0000,S1 = 0,S0 = 0, Add_Sub = 00111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
